title,Cumulative Worldwide Gross,Budget,Opening Weekend United States,rating,runtimes,votes,aspect ratio
Middle School: The Worst Years of My Life (2016),20611649.0,8500000.0,6878437.0,6.1,92,7060.0,2.39
The Accountant (2016),155160045.0,44000000.0,24710273.0,7.3,128,246141.0,2.35
Arrival (2016),203388186.0,47000000.0,24000000.0,7.9,116,554139.0,2.39
Storks (2016),183388953.0,70000000.0,21311407.0,6.8,87,53124.0,2.35
La La Land (2016),446092357.0,30000000.0,9242782.0,8.0,128,468934.0,2.55
Inferno (2016),220021259.0,75000000.0,14860425.0,6.2,121,148089.0,1.85
Keeping Up with the Joneses (2016),28939621.0,40000000.0,5461475.0,5.9,105,54613.0,2.39
Ouija: Origin of Evil (2016),79496033.0,9000000.0,14065500.0,6.1,99,50460.0,1.85
Trolls (2016),346864462.0,125000000.0,46581142.0,6.5,92,66653.0,2.39
Manchester by the Sea (2016),62201310.0,8500000.0,4223828.0,7.8,137,229533.0,1.85
Bad Santa 2 (2016),24079268.0,26000000.0,6176680.0,5.6,92,21683.0,1.85
Almost Christmas (2016),42487325.0,17000000.0,15564000.0,6.1,111,5622.0,2.35
Collateral Beauty (2016),88528280.0,36000000.0,7102085.0,6.8,97,85211.0,2.35
Moana (2016),643331111.0,150000000.0,56631401.0,7.6,107,246373.0,2.39
Jackie (2016),11692444.0,9000000.0,278715.0,6.7,100,69504.0,1.33
Office Christmas Party (2016),114501299.0,45000000.0,17500000.0,5.8,105,64835.0,2.35
The Space Between Us (2017),16481405.0,30000000.0,3775596.0,6.4,120,44902.0,2.35
Rogue One: A Star Wars Story (2016),1056057273.0,200000000.0,155081681.0,7.8,133,522653.0,2.39
Live by Night (2016),16706524.0,108000000.0,74618.0,6.4,129,49407.0,2.39
Split (2016),278454358.0,9000000.0,40010975.0,7.3,117,394569.0,2.39
Underworld: Blood Wars (2016),76130534.0,35000000.0,13688751.0,5.8,91,66197.0,2.35
Passengers (2016),303144152.0,110000000.0,14869736.0,7.0,116,329279.0,2.39
Hidden Figures (2016),235956898.0,25000000.0,22800057.0,7.8,127,184778.0,2.39
Fences (2016),64098857.0,24000000.0,11600170.0,7.2,139,92383.0,2.39
20th Century Women (2016),5757620.0,7000000.0,1385336.0,7.3,119,36127.0,2.00
The Great Wall (2016),334933831.0,150000000.0,18469620.0,5.9,103,118781.0,2.39
The Founder (2016),24403192.0,25000000.0,3404102.0,7.2,115,109135.0,2.35
Why Him? (2016),118102725.0,38000000.0,11002986.0,6.2,111,95616.0,1.85
Assassin's Creed (2016),240942515.0,125000000.0,10278225.0,5.7,115,175745.0,2.35
A Dog's Purpose (2017),204361517.0,22000000.0,18222810.0,7.2,100,60900.0,2.35
Gold (2016),7653901.0,20000000.0,3471316.0,6.7,120,53505.0,2.35
Fist Fight (2017),41087017.0,22000000.0,12201873.0,5.6,91,37545.0,1.85
Sleepless (2017),17413596.0,30000000.0,8468787.0,5.6,95,27488.0,2.35
A Cure for Wellness (2016),26559557.0,40000000.0,4356941.0,6.4,146,77942.0,1.66
The Bye Bye Man (2017),23239232.0,7400000.0,13378000.0,4.2,96,19898.0,1.85
The Lego Batman Movie (2017),311950384.0,80000000.0,53003468.0,7.3,104,124486.0,2.35
Rings (2017),83018523.0,25000000.0,13002632.0,4.5,102,36011.0,1.85
Get Out (2017),255457364.0,5000000.0,33377060.0,7.7,104,449867.0,2.39
Logan (2017),619021436.0,97000000.0,88411916.0,8.1,137,605254.0,2.39
Kong: Skull Island (2017),566652812.0,185000000.0,61025472.0,6.6,118,254502.0,2.39
Passage to Mars (2016),3227000.0,2150000.0,126397.0,4.6,94,656.0,1.85
Before I Fall (2017),12498674.0,5000000.0,4690214.0,6.4,98,42334.0,2.35
The Big Sick (2017),44328624.0,5000000.0,7529590.0,7.5,120,112541.0,1.85
Beauty and the Beast (2017),1263521126.0,160000000.0,174750616.0,7.1,129,255431.0,1.90
The Boss Baby (2017),527965936.0,125000000.0,50198902.0,6.3,97,101156.0,2.39
Resident Evil: The Final Chapter (2016),312242626.0,40000000.0,13601682.0,5.5,107,79361.0,2.39
Ghost in the Shell (2017),169801921.0,110000000.0,18676033.0,6.3,107,187110.0,1.85
Fifty Shades Darker (2017),374275967.0,55000000.0,46607250.0,4.6,118,86508.0,2.39
The Glass Castle (2017),9764032.0,9000000.0,4678548.0,7.1,127,26737.0,2.35
