,title,Cumulative Worldwide Gross,Budget,Opening Weekend United States,rating,runtimes,votes,aspect ratio
109,Little Man,101595121.0,64000000.0,21613176.0,4.4,98,48315.0,1.85
110,Monster House,66513996.0,75000000.0,22217226.0,6.6,91,94544.0,1.78
111,Snakes on a Plane,62022014.0,33000000.0,15206301.0,5.4,105,128639.0,2.39
112,Talladega Nights: The Ballad of Ricky Bobby,162966177.0,72500000.0,47042215.0,6.6,108,160621.0,2.39
113,Night at the Museum,574480841.0,110000000.0,42212651.0,6.4,108,299692.0,1.85
114,World Trade Center,162970240.0,63000000.0,18730762.0,5.9,129,75723.0,1.85
115,Miami Vice,100327090.0,135000000.0,25723815.0,6.0,132,106289.0,2.35
116,The Pursuit of Happyness,307077295.0,55000000.0,26541709.0,8.0,117,423725.0,2.35
117,John Tucker Must Die,68824526.0,18000000.0,14276534.0,5.8,89,77268.0,1.85
118,The Ant Bully,55181129.0,50000000.0,8432465.0,5.8,88,35675.0,1.44
119,Barnyard,118583844.0,51000000.0,15820864.0,5.5,90,26294.0,1.85
120,Step Up,114194847.0,12000000.0,20659573.0,6.5,104,107266.0,2.39
121,Accepted,38505009.0,23000000.0,10023835.0,6.4,93,119139.0,2.35
122,The Illusionist,87892388.0,16000000.0,927956.0,7.6,110,344981.0,1.85
123,Beerfest,20387597.0,17500000.0,7031228.0,6.3,110,62381.0,2.35
124,The Covenant,32347239.0,20000000.0,8852485.0,5.3,97,45475.0,2.35
125,Sherrybaby,622806.0,2000000.0,34774.0,6.6,96,11252.0,1.85
126,Apocalypto,120654337.0,40000000.0,15005604.0,7.8,139,278637.0,1.85
127,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,261572744.0,18000000.0,26455463.0,7.3,84,341247.0,1.85
128,The Guardian,94973540.0,70000000.0,18006064.0,6.9,139,85085.0,1.85
129,Open Season,197309027.0,85000000.0,23624548.0,6.1,86,82575.0,1.85
130,The Departed,289847354.0,90000000.0,26887467.0,8.5,151,1128051.0,2.39
131,The Texas Chainsaw Massacre: The Beginning,51764406.0,16000000.0,18508228.0,5.8,91,65888.0,1.85
132,The Grudge 2,70711175.0,20000000.0,20825300.0,5.0,102,45862.0,1.85
133,One Night with the King,13538582.0,20000000.0,4106862.0,6.2,123,6547.0,2.35
134,Little Children,14821658.0,26000000.0,97953.0,7.5,136,102474.0,2.35
135,Shortbus,3108568.0,2000000.0,107907.0,6.4,101,31130.0,1.78
136,Children of Men,69959751.0,76000000.0,179268.0,7.9,109,443878.0,1.85
137,The Prestige,109676311.0,40000000.0,14801808.0,8.5,130,1119206.0,2.39
138,Flags of Our Fathers,65900249.0,90000000.0,10245190.0,7.1,135,114002.0,2.39
139,Saw III,84635551.0,10000000.0,33610391.0,6.2,108,171973.0,1.85
140,The Santa Clause 3: The Escape Clause,110768122.0,12000000.0,19504038.0,4.7,97,31112.0,1.85
141,The Return,11987890.0,15000000.0,4479621.0,4.7,85,11306.0,2.35
142,Happy Feet,384335608.0,100000000.0,41533432.0,6.4,108,163425.0,1.33.1
143,Déjà Vu,180557550.0,75000000.0,20574802.0,7.0,126,284047.0,2.39
144,Bobby,20597806.0,14000000.0,69039.0,7.0,117,40475.0,2.35
145,The Holiday,205135324.0,85000000.0,12778913.0,6.9,136,231576.0,1.85
146,Harsh Times,5967038.0,2000000.0,1968505.0,6.9,116,61467.0,1.85
147,The Nativity Story,46432264.0,30000000.0,7849304.0,6.8,101,9614.0,2.35
148,Blood Diamond,171407179.0,100000000.0,8648324.0,8.0,143,478693.0,2.35
149,Eragon,174400164.0,100000000.0,23239907.0,5.1,104,119357.0,2.35
150,Rocky Balboa,155721132.0,24000000.0,17003904.0,7.1,102,197211.0,1.85
151,Fur: An Imaginary Portrait of Diane Arbus,2281089.0,16800000.0,28815.0,6.5,122,14881.0,1.85
152,The Good Shepherd,99480480.0,110000000.0,14142760.0,6.7,167,96188.0,2.35
153,Dreamgirls,154937680.0,70000000.0,378950.0,6.5,130,66302.0,2.35
154,The Good German,5914908.0,32000000.0,76817.0,6.0,105,23513.0,1.66
155,Letters from Iwo Jima,68673228.0,19000000.0,122548.0,7.9,141,149616.0,2.39
156,Happily N'Ever After,38085778.0,47000000.0,6608244.0,4.5,75,9777.0,1.85
157,Stomp the Yard,75511123.0,14000000.0,25876318.0,5.4,109,21349.0,2.35
158,The Hitcher,25393046.0,10000000.0,7818239.0,5.6,84,39579.0,2.35
159,Bridge to Terabithia,137587063.0,17000000.0,28536717.0,7.1,96,136914.0,1.85
160,Killer of Sheep,456459.0,100000.0,31728.0,7.3,80,5726.0,1.37
161,Epic Movie,86865564.0,20000000.0,18612544.0,2.4,86,99747.0,1.85
162,Norbit,159313561.0,60000000.0,34195434.0,4.0,102,65415.0,1.85
163,Ratatouille,623722818.0,150000000.0,47027395.0,8.0,111,608711.0,2.39
164,Ghost Rider,228738393.0,110000000.0,52022908.0,5.2,110,215993.0,2.35
165,Music and Lyrics,145896422.0,40000000.0,15875471.0,6.5,104,93858.0,1.85
166,Reno 911!: Miami,22021262.0,10000000.0,10273477.0,5.9,84,25877.0,1.85
167,Black Snake Moan,10903846.0,15000000.0,4143199.0,6.9,116,59611.0,2.35
168,Factory Girl,2581387.0,7000000.0,195698.0,6.5,90,20356.0,1.85
169,Next,77434049.0,70000000.0,7133049.0,6.2,96,144023.0,2.35
170,Zodiac,84785914.0,65000000.0,13395610.0,7.7,157,422229.0,2.40
171,300,456068181.0,65000000.0,70885301.0,7.6,117,711429.0,2.35
172,Premonition,84146832.0,20000000.0,17558689.0,5.9,96,70870.0,2.35
173,Dead Silence,22217407.0,20000000.0,7842725.0,6.2,89,81480.0,2.39
174,Reign Over Me,21418543.0,20000000.0,7460690.0,7.4,124,91355.0,2.35
175,Shooter,95696996.0,61000000.0,14523571.0,7.2,124,300066.0,2.35
176,The Hills Have Eyes 2,37466538.0,15000000.0,9686362.0,5.1,89,58922.0,2.35
177,The Lookout,4646830.0,16000000.0,2017795.0,7.0,99,55541.0,2.35
178,Blades of Glory,145708642.0,61000000.0,33014202.0,6.3,93,152327.0,1.85
179,The Reaping,62771059.0,40000000.0,10025203.0,5.6,99,41275.0,2.35
180,Meet the Robinsons,169333034.0,150000000.0,25123781.0,6.8,95,83310.0,1.44
181,Seraphim Falls,796992.0,18000000.0,155560.0,6.7,115,28455.0,2.35
182,Perfect Stranger,73090611.0,60795000.0,11500000.0,5.7,109,43569.0,2.35
183,Disturbia,117760134.0,20000000.0,22224982.0,6.8,105,212499.0,1.85
184,Vacancy,35300645.0,19000000.0,7603376.0,6.2,85,91610.0,2.35
185,Spider-Man 3,890871626.0,258000000.0,151116516.0,6.2,139,479528.0,2.39
186,Knocked Up,219076518.0,30000000.0,30690990.0,6.9,129,340293.0,1.85
187,Hairspray,202548575.0,75000000.0,27476745.0,6.6,117,116039.0,2.39
188,Shrek the Third,798958162.0,160000000.0,121629270.0,6.0,93,267991.0,1.85
189,Pirates of the Caribbean: At World's End,963420425.0,300000000.0,139802190.0,7.1,169,574329.0,2.39
190,Gracie,3036736.0,9000000.0,1355904.0,6.2,95,3927.0,2.35
191,Ocean's Thirteen,311312624.0,85000000.0,36133403.0,6.9,122,307538.0,2.39
192,Hostel: Part II,35633963.0,10000000.0,8203391.0,5.5,94,82678.0,2.35
193,Surf's Up,149044513.0,100000000.0,17640249.0,6.7,85,65947.0,1.85
194,Fantastic 4: Rise of the Silver Surfer,289047763.0,130000000.0,58051684.0,5.6,92,244557.0,2.35
195,Nancy Drew,30666930.0,20000000.0,6832318.0,5.9,99,18739.0,2.35
196,Rescue Dawn,7177143.0,10000000.0,110326.0,7.3,120,97767.0,1.85
197,A Mighty Heart,16686371.0,16000000.0,3948863.0,6.6,108,26398.0,2.35
198,1408,131998242.0,25000000.0,20617667.0,6.8,104,248201.0,2.35
199,Live Free or Die Hard,383531464.0,110000000.0,33369559.0,7.1,128,379301.0,2.35
200,Evan Almighty,173418781.0,175000000.0,31192615.0,5.4,96,134691.0,2.35
201,Transformers,709709780.0,150000000.0,70502384.0,7.0,144,581738.0,2.39
202,I Now Pronounce You Chuck & Larry,186072214.0,85000000.0,34233750.0,5.9,115,136805.0,1.85
203,Across the Universe,29367143.0,45000000.0,3824988.0,7.3,133,103665.0,2.35
204,The Simpsons Movie,526745137.0,75000000.0,74036787.0,7.3,87,300498.0,1.85
205,I Know Who Killed Me,9620399.0,12000000.0,3506291.0,3.6,105,25470.0,2.35
206,No Reservations,92601050.0,28000000.0,11704357.0,6.3,104,68363.0,2.35
207,The Bourne Ultimatum,442824138.0,110000000.0,69283690.0,8.0,115,590367.0,2.39
208,Superbad,169871719.0,20000000.0,33052411.0,7.6,113,501299.0,1.85
209,Resurrecting the Champ,3242427.0,13000000.0,1667659.0,6.7,112,19851.0,2.35
210,Rush Hour 3,258022233.0,140000000.0,49100158.0,6.2,91,147230.0,2.35
